Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3537008;Interior;Pedregulho;390;24;;;
3537107;Interior;Pedreira;6005;130;;;
3537156;Interior;Pedrinhas Paulista;729;12;;;
3537206;Interior;Pedro de Toledo;913;22;;;
3537305;Interior;Penápolis;18742;314;;;
3537404;Interior;Pereira Barreto;5195;119;;;
3537503;Interior;Pereiras;1204;23;;;
3537602;Interior;Peruíbe;10224;302;;;
3537701;Interior;Piacatu;1698;11;;;
3537800;Interior;Piedade;8897;193;;;
3537909;Interior;Pilar do Sul;6207;90;;;
3538006;Interior;Pindamonhangaba;32295;575;;;
3538105;Interior;Pindorama;3596;62;;;
3538204;Interior;Pinhalzinho;2255;30;;;
3538303;Interior;Piquerobi;252;9;;;
3538501;Interior;Piquete;413;36;;;
3538600;Interior;Piracaia;6008;91;;;
3538709;Interior;Piracicaba;98587;1632;;;
3538808;Interior;Piraju;6535;110;;;
3538907;Interior;Pirajuí;4568;71;;;
3539004;Interior;Pirangi;2981;70;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1677;26;;;
3539202;Interior;Pirapozinho;3896;86;;;
3539301;Interior;Pirassununga;19158;309;;;
3539400;Interior;Piratininga;2234;51;;;
3539509;Interior;Pitangueiras;7655;188;;;
3539608;Interior;Planalto;667;12;;;
3539707;Interior;Platina;746;12;;;
3539806;RMSP (exceto capital);Poá;11160;440;;;
3539905;Interior;Poloni;1785;21;;;
3540002;Interior;Pompéia;1042;58;;;
3540101;Interior;Pongaí;397;12;;;
3540200;Interior;Pontal;8106;186;;;
3540259;Interior;Pontalinda;608;20;;;
3540309;Interior;Pontes Gestal;815;10;;;
3540408;Interior;Populina;1374;14;;;
3540507;Interior;Porangaba;1227;23;;;
3540606;Interior;Porto Feliz;13683;173;;;
3540705;Interior;Porto Ferreira;16258;218;;;
3540754;Interior;Potim;3490;41;;;
3540804;Interior;Potirendaba;5739;95;;;
3540853;Interior;Pracinha;449;6;;;
3540903;Interior;Pradópolis;2056;47;;;
3541000;Interior;Praia Grande;31127;1348;;;
3541059;Interior;Pratânia;1446;19;;;
3541109;Interior;Presidente Alves;615;10;;;
3541208;Interior;Presidente Bernardes;1406;50;;;
3541307;Interior;Presidente Epitácio;6584;145;;;
